start,end,length
192,2025,77.853
2025,192,77.853
193,2943,33.742
193,194,90.418
194,2027,65.53999999999999
2027,194,65.53999999999999
194,2383,30.226
2383,194,30.226
195,50377,63.16
195,54767,9.830000000000002
196,197,75.15
196,2477,88.904
2477,196,88.904
197,2478,86.93900000000001
198,199,89.296
198,2480,75.213
199,200,51.67
199,2702,76.727
200,201,85.395
200,52041,66.981
52041,200,66.981
200,2069,74.90599999999999
2069,200,74.90599999999999
201,202,31.415999999999997
202,203,116.19999999999999
202,1920,59.885
203,1870,42.411
203,204,135.66400000000002
204,646,71.724
204,958,52.114
205,206,115.41
205,1145,86.009
1145,205,86.009
205,2921,83.47599999999998
2921,205,83.47599999999998
205,2033,222.97999999999996
2033,205,222.97999999999996
206,207,64.718
207,208,59.346000000000004
207,1355,72.322
208,605,80.252
208,53278,30.033
209,1634,79.39099999999999
209,210,136.63500000000002
210,53288,135.31
53288,210,135.31
210,211,141.333
211,46154,14.166
46154,211,14.166
211,2836,231.63800000000003
212,328,116.167
212,3040,74.049
213,212,309.291
213,684,74.53099999999999
214,213,273.814
214,1944,74.431
215,214,274.183
215,52198,74.161
216,215,277.697
216,2422,74.051
217,218,224.07700000000003
217,216,269.908
218,2351,79.56
219,55204,8.914
55204,219,8.914
219,220,74.973
220,41814,59.237
41814,220,59.237
220,2054,76.04400000000001
2054,220,76.04400000000001
220,49872,64.17599999999999
49872,220,64.17599999999999
220,55204,74.837
221,687,78.338
222,1734,83.593
223,222,273.776
223,1370,78.58200000000001
224,55096,10.15
224,1735,82.65299999999999
225,3009,78.497
225,224,270.12600000000003
226,41635,17.933
41635,226,17.933
226,2462,170.497
226,41633,163.14600000000002
41633,226,163.14600000000002
227,2420,77.69
2420,227,77.69
227,41398,145.597
41398,227,145.597
228,45747,21.836
45747,228,21.836
228,227,132.355
228,45751,89.292
229,1580,87.71
230,229,79.081
231,230,79.261
231,2756,168.74900000000002
2756,231,168.74900000000002
232,231,79.149
232,2757,203.23900000000003
2757,232,203.23900000000003
233,232,452.93600000000004
233,1830,108.089
1830,233,108.089
234,2717,78.53
2717,234,78.53
234,233,494.7879999999999
234,1169,132.386
234,1830,396.923
1830,234,396.923
235,2922,84.43199999999999
2922,235,84.43199999999999
235,53277,38.657
53277,235,38.657
236,235,77.97899999999998
236,53256,149.972
53256,236,149.972
236,925,260.209
925,236,260.209
236,1725,121.45899999999997
1725,236,121.45899999999997
237,42536,205.07899999999998
237,53256,77.18400000000001
53256,237,77.18400000000001
238,1027,86.317
238,2557,155.853
239,238,62.767
240,1127,80.059
1127,240,80.059
240,1746,79.33099999999999
1746,240,79.33099999999999
241,240,134.244
241,45999,80.341
45999,241,80.341
